access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,maximum_vehicle_class,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,street_address,zip,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_pricing,ev_renewable_source,ev_workplace_charging,access_days_time_fr,intersection_directions_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids.station,ev_network_ids.posts
24 hours daily,,,2020-03-05,,Public,83426,2017-02-15,P,E,False,,City of Nanaimo - Underground Parking Lot,250-754-4251,2021-06-07T17:08:43Z,MUNI_GOV,200-9,49.16477039999999,-123.9361473,Nanaimo,,101 Gordon St,V9R 5J6,['J1772'],,,2.0,Non-Networked,,Free,,True,Accessible 24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2023-10-12,,Public,83491,2020-08-21,P,E,False,LD,Fulford Community Hall,250-653-4415,2023-10-12T19:39:16Z,MUNI_GOV,GPS,48.772431,-123.465926,Salt Spring Island,,2591 Fulford-Ganges Rd,V8K 1Z4,['J1772'],,,1.0,Non-Networked,,Free; donations accepted,,False,24 heures par jour,,Public,Gratuit; dons acceptés,,
24 hours daily,,,2023-10-12,,Public,83492,2017-05-17,P,E,False,LD,Poets Cove Resort and Spa,250-629-2100,2023-10-12T19:39:16Z,HOTEL,200-9,48.748128,-123.22717,Pender Island,,9801 Spalding Rd,V0N 2M3,['J1772'],,,1.0,Non-Networked,,Free,,False,Accessible 24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2023-10-12,,Public,83527,2014-06-15,P,E,False,LD,City of Merritt - City Hall,250-378-4224,2023-10-12T19:39:16Z,MUNI_GOV,200-9,50.112488,-120.788241,Merritt,Located on the front posts of the building,2185 Voght St,V1K 1R6,['J1772'],,,2.0,Non-Networked,,Free,,False,Accessible 24 heures par jour,Située sur les poteaux avant du btiment,Public,Gratuit,,
Dealership business hours,CALL,,2022-04-13,,Public - Call ahead,83550,2021-02-09,P,E,False,,North Shore Kia,,2023-10-06T03:54:57Z,CAR_DEALER,GPS,49.31766018796375,-123.0967029312134,North Vancouver,,855 W 1st St,V7P 1A4,['J1772'],,,1.0,Non-Networked,,Free,,True,Heures d’ouverture du concessionnaire,,Public - Appeler à l'avance,Gratuit,,
24 hours daily,,,2019-04-09,,Public,83732,2011-03-01,P,E,False,,British Columbia Institute of Technology - Centre for Applied Research and Innovation,604-451-6875,2021-06-07T17:08:43Z,COLLEGE_CAMPUS,200-9,49.246145,-123.004204,Burnaby,,4355 Mathissi Pl,V5G 4S8,['J1772'],,,2.0,Non-Networked,,Free,HYDRO,False,Accessible 24 heures par jour,,Public,Gratuit,,
"8am-9pm M-Th, 8am-6pm F, 8:30-6pm Sat, 12pm-5pm Sun; For customers only",CALL,,2023-08-10,,Public - Call ahead,83733,2018-05-24,P,E,True,MD,Morrey Nissan,604-464-9291,2023-08-10T20:39:45Z,CAR_DEALER,200-9,49.27199,-122.788224,Port Coquitlam,,2710 Lougheed Hwy,V3B 6P2,['J1772'],,,1.0,Non-Networked,,Free,,False,"8:00-21:00 LUN-JEU, 8:00-18:00 VEN, 8:30-17:00 DIM; Pour client seulement",,Public - Appeler à l'avance,Gratuit,,
"7am-8pm M-F, 9am-5pm Sat; for staff and visitor use only",CALL,,2023-04-05,,Public - Call ahead,83849,2013-07-15,T,E,True,LD,BC Hydro - Dunsmuir Office,800-224-9376,2023-04-10T20:30:18Z,UTILITY,200-9,49.281774,-123.11286,Vancouver,,333 Dunsmuir St,V6B 5R4,['J1772'],,,5.0,Non-Networked,,$.21 per hour,,True,"7:00-20:00 LUN-VEN, 9:00-17:00 SAM; Ã  l'usage des employÃ©s et des visiteurs seulement",,Public - Appeler à l'avance,$.21 par heure,,
24 hours daily,,,2022-04-13,,Public,83923,2017-02-01,P,E,False,LD,Peavey Mart,250-374-0717,2022-09-01T20:05:57Z,HARDWARE_STORE,200-8,50.647522,-119.93725,Kamloops,,2121 Trans Canada Hwy,V2C 4A6,['J1772'],,,1.0,Non-Networked,,Free,,False,Accessible 24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2022-04-13,,Public,83924,2017-02-01,P,E,False,LD,Peavey Mart,250-782-4056,2022-09-01T20:05:57Z,HARDWARE_STORE,200-9,55.761714,-120.23592,Dawson Creek,,1300 Alaska Ave,V1G 1Z3,['J1772'],,,1.0,Non-Networked,,Free,,False,Accessible 24 heures par jour,,Public,Gratuit,,
